product_id,lowest_level
1476,Roomijs bekertjes
1480,Roomkaas (naturel)
1369,Plakken leverworst (versafdeling)
311,Chocolade broodjes (vers)
389,Desserts (diepvries)
1010,Leverkaas (voorverpakt)
2077,Zoete puntpaprika
881,Kipsalade (beleg)
1292,Pate (voorverpakt)
830,Ketjap
360,Couscous - naturel
2105,Zwarte thee eenkops
1959,Volle yoghurt
1896,Verse zalmfilet
1259,Paaskoeken
2075,Zoete drop (hard)
425,Douchegel alle huidtypes
777,Jong belegen kaas (stuk)
794,Kaassaus
339,Cola light & suikervrije flessen
5,Aardappel (ovenschotel)
1543,Schouderham (versafdeling)
1693,Stukjes kip/rund (vegetarisch)
451,Eiersalades (beleg)
1121,Merlot (Chili)
1134,Mini loempia's
1324,Pinda's (bakje)
2009,Wit brood (ovenvers)
1190,Natuurazijn
2024,Witte rijst
948,Kopsoep
1099,Mayonaise (in pot)
1579,Singaporese maaltijdpakket
302,Chinees maaltijdpakket
758,Indonesische chilisaus
1801,Tuinbonen (conserven)
1727,Tandpasta gevoelig tandvlees
212,Borrelmix (oven)
782,Jus naturel
1656,Spitskool
1823,Vaatwas tabletten
90,Aromat
527,Gatenkaas (plakken)
261,Cakemix
241,Bruine bonen (conserven)
1475,Room handijs
418,Doperwten (conserven)
1974,Wafels
1520,Sauvignon Blanc (Argentinië)
394,Diepvries hapjes
1626,Soesjes (vers)
914,Koffiemelk cupjes
1203,Noodles
1323,Pilsener laag in alcohol
1195,Nespresso compatible (krachtig)
916,Koffiemelk pak
833,Keukenpapier
78,Appelflappen
104,Aziatisch tafelen
1065,Magere melk (vers)
43,Afwasmiddel
1690,Stuk leverworst (voorverpakt)
1227,Ontbijtpap
2096,Zuurkool (naturel)
656,Groentesap & drank (gekoeld)
1771,Tomatensap & drank
784,Jus rundvlees
1306,Pepersaus
152,Bewuste thee
1804,Tuinkers
739,IJsbergsla (krop)
1707,"Syrah, Shiraz (Australië)"
1541,Schoonmaakazijn
1599,"Smeerpastei, smac"
1283,Parmezaanse kaas (stuk)
1865,Verdejo
1714,Taart (vers)
1455,Rode kool (conserven)
289,Chardonnay (Argentinië)
283,Champignonsaus
1442,Rietsuiker
465,Extra belegen kaas (plakken)
1468,Rondeeleieren
1026,Loempia
1512,Sambal
192,Boerenkaas (plakken)
529,Gebakje
1993,Watten & wattenstaafjes
486,Flosdraad
1362,Plakken gebraden gehakt (voorverpakt)
1205,Nootmuskaat - gemalen
1061,Macaroni
1446,Rijstolie
220,Bosvruchtenjam
143,Beenham (voorverpakt)
829,Ketchup
2086,Zout  (kruiden)
373,Currypasta
1359,Plakken bacon (voorverpakt)
290,Chardonnay (Australië)
522,"Fusilli, casareccia"
1529,Scheergel - mannen
567,Gemengde drop
915,Koffiemelk flesjes
547,Geitenkaas (plakken)
1697,Suikerklontjes en staafjes
1555,Servetten (feestdag)
1330,Pinot Grigio (Australië)
160,Bijzondere thee
1386,Poedersuiker
415,Donkere basterdsuiker
1096,Mascarpone
369,Croissant (vers)
1965,Vrije uitloop eieren
1207,Noten garnering
1735,Tarwebloem
1998,Wereld maaltijden
159,Bietjes (vers)
1689,Stuk leverworst (versafdeling)
870,Kippenbouillon (blokjes)
1769,Tomatenpulp (conserven)
943,Kook- en woonbladen
2078,Zoete uien
2076,Zoete drop (zacht)
638,Groene asperges
2026,Witte wijn (klein)
1316,Peultjes (vers)
1875,Verse citroenen
622,Granaatappel (vers)
131,Basilicum (vers)
1425,Radijs (verpakt)
1413,Pure chocolade met noten
563,Gember (vers)
2034,Worcester sauce
295,Cheddar
1100,Mayonaise (minder vet)
88,Arachide olie
278,Cayennepeper
219,Bosuien
1490,Rozemarijn (vers)
1695,Sugar Snaps (vers)
169,Bladsla
1622,Soepstengels
400,Dille (vers)
767,Italiaanse keukenkruiden
1719,"Tabasco, chilipepersaus"
1767,Tomaten producten
1395,Pot (mint)
167,Bladerdeeg (diepvries)
1775,Tomatensoep in zak
734,Hummus (naturel)
704,Haverdrink
1629,Sojadrink (houdbaar)
706,Havermout (regular)
1451,Risotto rijst
958,Krieltjes - ongeschild
577,Gerookte makreel
296,Cheese & onion chips
1106,Meergranen brood (dagvers)
1212,Notenmix (zakje)
28,Aardbeienjam
774,"Jasmijn, pandanrijst"
1746,Theebiscuits
1478,Roomijs premium
795,Kaassouffle (frituur)
2016,Witte chocolade met noten
572,Geraspte emmentaler en gruyere kaas
820,Keelpastilles
1411,"Pudding, desserts"
1085,Mango per stuk
711,Hele Laurierblad
1360,Plakken boterhamworst (versafdeling)
1072,Maisbrood (ovenvers)
2106,Zwarte thee meerkops
1741,Thais maaltijdpakket
1877,Verse grapefruits
590,Gezeefde tomaten (conserven)
1772,Tomatenschijven (conserven)
177,Bleekselderij (vers)
2036,Worst (varkensvlees)
831,Keukenaccessoires
1248,Oude kaas (plakken)
1437,Reguliere servetten
1367,Plakken kookworst (versafdeling)
2087,Zout (diverse)
1365,Plakken grillworst (versafdeling)
1985,Water (in tray)
676,Hagelslag (suikerbewust)
1432,Rauwkost groente
1217,Olijfolie basis
1308,Peren zoet en aromatisch
811,Karnemelk (vers)
681,Halfvolle melk
860,Kipfilet (versafdeling)
969,Kruidenboter
1954,Volle kwark
2070,Zoete aardappelen
2025,Witte thee
324,Ciabatta
1443,Rigatoni
1439,Ricotta
1534,"Schelpjes, conchigliette"
1722,"Tagliatelli, fettucini, linguine (houdbaar)"
762,Inktvis
698,Haricots verts (diepvries)
1802,Tuinbonen (diepvries)
1510,Salami - speciaal (versafdeling)
934,Komijnkaas (plakken)
1296,Pedaalemmerzakken
1414,Pure chocolade met smaak
952,Kraamtijd
91,Artisjok (conserven)
687,Hamblokjes (voorverpakt)
912,Koffiefilters
41,Afbakstokbrood
662,Groentesoep in zak
1616,Soepballetjes (conserven)
205,Boomstammetje
1825,Vanaf 1 jaar (dreumesmelk)
580,Geschilde aardappel - vastkokend
1477,Roomijs hoorntjes
519,Fruitsnacks
2072,Zoete beleg (suikerbewust)
591,Gezichtsdoekjes baby
868,Kipnuggets/kipfingers (frituur)
543,Gehaktbal
733,"Hugo, wijncocktail"
1116,Melk paaseitjes
1267,Pannenkoeken
1140,Mixdranken (blikjes en flesjes)
961,Krokante muesli (chocolade)
1935,Vleessauzen (vers)
962,Krokante muesli (fruit)
1594,Slavinken
779,Jonge kaas (stuk)
1828,Vanaf 12 mnd (baby maaltijden)
501,Frikandel (frituur)
516,Fruitmix - diepvries
1256,Overige
546,Gehaktstaaf
1084,Mango (diepvries)
457,Energy drinks
9,Aardappelballetjes
594,Gezouten roomboter
421,Doperwten/wortelen (conserven)
118,Bak aroma
121,Bakpoeder
34,Achterham (voorverpakt)
523,Galia meloen
1161,Muesli (chocolade)
208,Borrelhapjes kaas
1135,Mini pizza's
1546,Schuddebuikjes
229,Breekbrood (afbak)
1235,Oosterse soep
1260,Paassnoep
314,Chocolade paashaas
497,Frambozenjam
2054,Zakdoekjes
879,Kippensoep in zak
848,Kinderdesserts (yoghurt)
1110,Melk chocolade
665,Grote paaseieren
654,Groentemix (vers)
1574,"Sinaasappelsap, jus d'orange (vers)"
264,Candybars multipack
901,Koek bites
42,Afwasborstels
120,Bakpapier
515,Fruitmix (conserven)
1597,Smeerbare margarine
1537,Schnitzel (kip)
703,Hartige taart
586,Gevulde koeken
1449,Rijstzoutjes
1860,Velderwten (conserven)
968,Kropsla (voorgesneden)
23,Aardappelschotel - Grieks
655,"Groentepasta, rijst (vers)"
242,Bruine bonensoep in blik
1791,Traditionele Hollandse gerechten
680,Half harde kaas
1937,Vleeswaren speciaal (versafdeling)
695,"Handwas, voorwas"
1641,Specialiteiten
1979,Waspoeder (kleur)
909,Koffiebonen (origins)
271,Carpaccio (versafdeling)
751,Ice tea koolzuurvrij (flessen)
548,Geitenkaas (stuk)
1659,Sportdrank flesjes
1926,Vlees (varken)
300,Chili
593,Gezichtsreiniging vrouw
1138,Mix paaseitjes
1271,Pap - groot
337,Cola light & suikervrije blikjes
1962,Voorgesneden uien
1794,Treksluitzakken
1762,Toiletpapier - 2 laags
1129,Mexicaanse mix
652,Groentefriet (vers)
397,Diepvrieszakken
1312,Pesto in pot
517,Fruitrepen
247,Burgers (vegetarisch)
274,Cashewnoten (zakje)
1978,Walnoten (zakje)
1658,Sponzen
1792,Traditionele Italiaanse gerechten
1288,Pastasaus in zak
1751,Tijdschriften vrouwen
1945,Vloeibare schoonmaakzeep
2084,Zonnebloemolie
1725,Tandenstokers
384,Deospray mannen
1643,Speculoospasta
754,Indiaas maaltijdpakket
752,Ice tea koolzuurvrij (pakken)
765,Italiaans maaltijdpakket
834,Keukenreiniger
1729,Tandpasta sterke tanden
1623,Soepvlees (rund)
896,Knoflooksaus
340,Cola light & suikervrije multipacks
560,Gemalen zwarte peper
168,Bladerdeeg (vers)
926,Kokosmelk
632,"Grenache, Garnacha rosé (Frankrijk)"
1732,"Tapenade, bruschetta"
259,Cake (vers)
1799,"Truffel, pesto mayonaise"
243,Bubbels overig
1311,Pesto (vers)
45,"Aioli, boter"
1335,Pinot Grigio (Zuid Afrika)
1062,Macarons
1526,Sauvignon Blanc (Zuid Afrika)
806,Kaneel (stokjes)
61,Amandelen (bakje)
1056,Maandverband (dag)
702,"Hartige biscuit, knackbrod"
1057,Maandverband (nacht)
1677,Stoommaaltijden
17,Aardappelpuree (mix)
1720,Taco's
67,Ananas stukjes
308,Chips minder vet
116,Badtextiel
2045,Yoghurt tussendoortjes
581,Gesneden
1280,Paracetamol
1139,Mix voor dipsaus
1268,Pannenkoekenmix (diverse)
1164,Muesli (noten)
1551,Selderij (vers)
682,Halfvolle melk (houdbaar)
922,Koffiesiroop
808,"Karamel, hopjes vla"
1749,Theelichten
1632,Sorbet en yoghurtijs
1739,Tempranillo (Spanje)
2059,Zeevruchten (diepvries)
1705,Sushi benodigdheden
772,Japanse sojasaus
1336,Pinot Grigio - rosé (Italië)
409,Doekjes
2020,Witte kool
250,Cabernet Sauvignon (Chili)
812,Kartonnen bekers
1635,Spaanse rode wijn (stevig)
1320,Pilsener - blik
796,Kaassouffle (oven)
8,Aardappel vastkokend - met schil
1638,Spaghetti (houdbaar)
657,Groentesap (vers)
2061,Zeezout
1398,"Prikkers, touw"
329,Citroenblad
553,Gelatine (poeder)
240,Bruin brood (ovenvers)
1091,Marmelade
1763,Toiletpapier - 3 laags
1681,Stroop (regulier)
950,Koriander (vers)
1558,Sesamzaad
1415,"Pure chocolade met vulling, praliné"
214,Borrelnoten (zakje)
490,Fond
1893,Verse vleestomaten
1601,Smoothie-fruit (vers)
756,Indiase mix
1457,Rode kool (vers)
57,Aluminiumfolie
514,Fruitbiscuit & melkbiscuit
1897,Vershoudfolie
554,Gele paprika
595,Ginger Ale
276,Cassis
963,Krokante muesli (naturel)
819,Kattenvoer Singlepack
363,Cranberries (diverse)
130,Barbecuesaus
930,Kokosolie
63,Amandelen (zakje)
1554,Seroendeng
1216,Oesterzwammen
1564,Shi take
1151,Mosterd (regular)
537,Gedroogde ham (voorverpakt)
1127,Mexicaans bier
272,Cashewnoten (bakje)
1508,Salami (versafdeling)
597,Gist
1469,"Rondo, carre (vegetarisch)"
471,Falafel
788,Kaas broodjes
1463,Roerbaksaus
70,Anijs
587,Gevulde paaseitjes
1776,Tompoucen (vers)
1406,Pruimen - vers
1293,Pate - vegetarisch
86,"Appelstroop, perenstroop"
1427,Radler citroen
154,Bier 0.0
1464,Roggebrood (dagvers)
619,"Graanvlokken, gepoft"
388,Desserts
766,Italiaanse diepvries maaltijd
1230,Oog make-up remover
1758,Toffees
1699,Surimi
1162,Muesli (fruit)
1052,Maaltijdgroente
544,Gehaktbal (rundvlees)
434,Droge worst - metworst
538,Gedroogde tomaten
1756,Toast
158,Bietjes (conserven)
352,Cordon bleu
2067,Zilveruitjes
26,Aardbeien (diepvries)
1302,Peperkoek - gesneden
1177,Multivruchtensap & drank (gekoeld)
173,Blauwe bessen (diepvries)
494,Frambozen (diepvries)
1471,Rookkaas (plakken)
1650,Sperziebonen (diepvries)
1223,Ontbijtkoek - gesneden
1137,Minneola
1949,Vochtige schoonmaakdoekjes
1549,"Seizoenchocolade, seizoensnoep"
761,Indonesische woksaus
877,Kippensoep (zelf bereiden)
659,Groentesoep (zelf bereiden)
1915,Vissauzen (mix)
1929,Vleesbouillon (poeder)
1773,Tomatensoep (zelf bereiden)
871,Kippenbouillon (poeder)
835,Keukentextiel
1603,Snelfilterkoffie (cafeïnevrij)
1873,Verse blauwe druiven
315,Chocolade vla
162,Bindmiddel
1921,VlaFlip
450,Eierkoeken
1272,Pap - portieverpakking
65,Ananas (conserven)
1310,Perziken (conserven)
1673,Stoofpeertjes
1692,Stuk spek (voorverpakt)
701,Haring (vers)
650,Groentebouillon (poeder)
164,Bitter Lemon
36,Afbak croissants
1456,Rode kool (diepvries)
1349,Pizza (steen/houtoven)
458,Entrecote
1813,Uienpoeder
1404,Provencaalse kruidenmix
2022,Witte peper
1243,Oregano
1817,Uitdeelzakjes chips
1090,Marinade
510,"Frituurvet, frituurolie"
753,Incontinentie vrouwen
1587,Slagroom
769,"Jalapeno, pepers"
1289,Pastinaak
602,Glutenvrije afbakbroodjes
1951,Vogelvoer
293,Chardonnay (Spanje)
1864,Venkelzaad
1552,Selderij kruiden
1279,Paprikapoeder
936,Komijnzaad (gemalen)
1863,Venkel
1752,Tijm
1491,Rozemarijn kruiden
1522,Sauvignon Blanc (Chili)
288,Charcuterie speciaal (versafdeling)
746,IPA (India pale ale)
1009,Leverkaas (versafdeling)
1996,Weizen bier
111,Babysiroop
1991,Watermeloen per stuk
291,Chardonnay (Chili)
1097,Matzes
1868,Vermentino (Italië)
476,Fiano (Italië)
691,Hamlappen
